method,model_family,final_avg_acc_mean,final_avg_acc_std,min_task_acc_mean,avg_forgetting_mean,middle_avg_acc_mean,middle_min_acc_mean,old_class_acc_mean,recent_class_acc_mean,class0_acc_mean,class1_acc_mean,class2_acc_mean,class3_acc_mean,class4_acc_mean,class5_acc_mean,min_class_acc_mean,pred4_bias_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params_mean,total_params_mean,backbone_params_mean,readout_total_params_mean,model_size_mb_total_mean,probe_row,backbone_source,probe_feature,probe_context_mode,method_role
baseline_balanced_replay,mlp_baseline,0.8360833333333333,0.010750968948580075,0.68375,0.14145833333333332,0.7691666666666667,0.68375,0.8059722222222222,0.9008333333333334,0.8825,0.93,0.6054166666666667,0.7616666666666667,0.9433333333333334,0.9975,0.6054166666666667,0.24194444444444443,0.9188730319341024,2.4097944100697837,1.5179166793823242,1.0066667000452678,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_experience_replay,mlp_baseline,0.8360833333333333,0.010750968948580075,0.68375,0.14145833333333332,0.7691666666666667,0.68375,0.8059722222222222,0.9008333333333334,0.8825,0.93,0.6054166666666667,0.7616666666666667,0.9433333333333334,0.9975,0.6054166666666667,0.24194444444444443,0.9188730319341024,2.4097944100697837,1.5179166793823242,1.0066667000452678,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
probe_proto__transformed3_oracle,probe,0.79175,0.10505980439730501,0.6741666666666667,,0.7170833333333334,0.6770833333333334,0.7983333333333333,0.8209722222222222,0.8325,0.8675,0.695,0.6670833333333334,0.8300000000000001,0.9658333333333333,0.625,0.20187500000000003,1.7150176068147023,2.7275763352711997,1.3633333245913188,1.0708333253860474,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed3,oracle,diagnostic_probe
probe_proto__transformed2_oracle,probe,0.6782499999999999,0.16611234902920377,0.38916666666666666,,0.5302083333333334,0.38916666666666666,0.7566666666666667,0.6320833333333332,0.66,0.9354166666666667,0.6745833333333332,0.44458333333333333,0.5616666666666666,0.89,0.33791666666666664,0.17444444444444443,1.304111900428931,2.129492183526357,1.3774999777475994,1.1450000206629436,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed2,oracle,diagnostic_probe
probe_proto__transformed1_oracle,probe,0.6403333333333333,0.09879218508228947,0.4683333333333333,,0.6308333333333334,0.48541666666666666,0.7000000000000001,0.6094444444444445,0.5958333333333333,0.66,0.8441666666666666,0.7075,0.26333333333333336,0.8574999999999999,0.26333333333333336,0.09055555555555554,1.2225798666477203,2.674022674560547,1.2108333309491475,1.2916666666666667,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed1,oracle,diagnostic_probe
probe_proto__transformed0_oracle,probe,0.6044999999999999,0.10633114548428417,0.38000000000000006,,0.5627083333333333,0.39291666666666664,0.5547222222222222,0.6827777777777778,0.43166666666666664,0.6958333333333333,0.5366666666666666,0.6154166666666666,0.48458333333333337,0.9483333333333334,0.16375,0.23701388888888889,0.03295201063156128,2.407317280769348,1.5562499562899272,1.1358333428700764,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed0,oracle,diagnostic_probe
probe_proto__transformed4_oracle,probe,0.5929166666666666,0.0883474438415359,0.31625,,0.43895833333333334,0.31625,0.7222222222222223,0.5268055555555556,0.62,0.8154166666666667,0.7312500000000001,0.38458333333333333,0.2508333333333333,0.945,0.17208333333333337,0.0767361111111111,1.264145518342654,2.837838331858317,1.3974999984105427,1.122499982515971,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed4,oracle,diagnostic_probe
baseline_lwf,mlp_baseline,0.44325,0.02769025099200075,0.01958333333333333,0.6180208333333334,0.5912499999999999,0.3429166666666667,0.018194444444444444,0.8855555555555555,0.015,0.03916666666666666,0.0004166666666666667,0.6820833333333333,0.9995833333333334,0.975,0.0,0.47631944444444435,-1.152165373166402,0.8908247152964274,2.1533333460489907,1.034166653951009,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_sparse_moe,sparse_moe,0.29983333333333334,0.00014433756729739054,0.0,0.8422916666666667,0.25,0.0,0.0,0.66625,0.0,0.0,0.0,0.0,0.9995833333333334,0.9991666666666666,0.0,0.8290972222222223,-24.155800183614094,2.4182047049204507,4.322499990463257,1.0008333524068196,1188555.0,1188555.0,1188555.0,,4.533977508544922,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_finetune,mlp_baseline,0.29983333333333334,0.00014433756729739054,0.0,0.8421875,0.25,0.0,0.0,0.66625,0.0,0.0,0.0,0.0,0.9995833333333334,0.9991666666666666,0.0,0.829513888888889,-25.9901860555013,2.268555005391439,5.023333311080933,1.0008333524068196,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_ewc,mlp_baseline,0.29975,0.00025000000000000716,0.0,0.8438541666666667,0.25,0.0,0.0,0.6659722222222223,0.0,0.0,0.0,0.0,0.9995833333333334,0.9983333333333334,0.0,0.8297916666666666,-33.36684544881185,2.4359792868296304,5.857083241144816,1.0016666650772095,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_pnn,pnn_fixed_columns,0.29891666666666666,0.0010103629710818437,0.0,0.8366666666666666,0.249375,0.0,0.0,0.66375,0.0,0.0,0.0,0.0,0.9979166666666667,0.9933333333333333,0.0,0.8231944444444443,-42.95171928405762,2.832275946935018,3.9833333492279053,1.006666660308838,219334.0,1088966.0,1088966.0,,4.154075622558594,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
