method,model_family,final_avg_acc_mean,final_avg_acc_std,min_task_acc_mean,avg_forgetting_mean,middle_avg_acc_mean,middle_min_acc_mean,old_class_acc_mean,recent_class_acc_mean,class0_acc_mean,class1_acc_mean,class2_acc_mean,class3_acc_mean,class4_acc_mean,class5_acc_mean,min_class_acc_mean,pred4_bias_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params_mean,total_params_mean,backbone_params_mean,readout_total_params_mean,model_size_mb_total_mean,probe_row,backbone_source,probe_feature,probe_context_mode,method_role
baseline_balanced_replay,mlp_baseline,0.8343333333333334,0.013158489021667179,0.6825,0.14322916666666666,0.7704166666666666,0.6825,0.8018055555555555,0.9027777777777778,0.8858333333333333,0.9191666666666666,0.6004166666666667,0.7654166666666667,0.9445833333333334,0.9983333333333334,0.6004166666666667,0.24270833333333333,0.8724771042664846,2.4035725593566895,1.5254166722297668,1.005833347638448,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_experience_replay,mlp_baseline,0.8343333333333334,0.013158489021667179,0.6825,0.14322916666666666,0.7704166666666666,0.6825,0.8018055555555555,0.9027777777777778,0.8858333333333333,0.9191666666666666,0.6004166666666667,0.7654166666666667,0.9445833333333334,0.9983333333333334,0.6004166666666667,0.24270833333333333,0.8724771042664846,2.4035725593566895,1.5254166722297668,1.005833347638448,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
probe_proto__transformed3_oracle,probe,0.8000833333333333,0.09518808136176156,0.7291666666666666,,0.7539583333333333,0.7291666666666666,0.78125,0.836388888888889,0.7383333333333333,0.8887499999999999,0.7166666666666667,0.745,0.7975,0.9666666666666667,0.71375,0.19465277777777779,2.0584471821784973,3.706268072128296,1.337499996026357,1.0675000349680583,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed3,oracle,diagnostic_probe
probe_proto__transformed2_oracle,probe,0.709,0.14363778228585955,0.5120833333333333,,0.6254166666666666,0.5120833333333333,0.7255555555555556,0.7166666666666667,0.585,0.8891666666666667,0.7025,0.6254166666666666,0.54625,0.9783333333333334,0.39916666666666667,0.14687499999999998,1.954807072877884,3.448493321736654,1.3441666563351948,1.0449999968210857,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed2,oracle,diagnostic_probe
probe_proto__transformed1_oracle,probe,0.6855833333333333,0.08815268477666086,0.4937500000000001,,0.588125,0.5108333333333334,0.7155555555555555,0.6893055555555555,0.6375000000000001,0.84625,0.6629166666666667,0.5483333333333333,0.58375,0.9358333333333334,0.3558333333333333,0.1717361111111111,0.8294296811024348,2.4153407414754233,1.3804166714350383,1.1241666873296101,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed1,oracle,diagnostic_probe
probe_proto__transformed0_oracle,probe,0.6276666666666667,0.03085483484534198,0.3854166666666667,,0.5535416666666667,0.3854166666666667,0.7075,0.6145833333333334,0.7408333333333333,0.7133333333333333,0.6683333333333333,0.6120833333333333,0.3166666666666667,0.915,0.15916666666666668,0.11305555555555553,0.6101707741618156,2.968501925468445,1.4604166746139526,1.2099999984105427,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed0,oracle,diagnostic_probe
probe_proto__transformed4_oracle,probe,0.5845833333333333,0.09810878316100621,0.28791666666666665,,0.39187500000000003,0.28791666666666665,0.71375,0.5370833333333334,0.6675,0.85,0.62375,0.31958333333333333,0.3,0.9916666666666667,0.007916666666666667,0.09444444444444444,0.7702127790544182,3.588597138722738,1.5049999952316284,1.021666685740153,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed4,oracle,diagnostic_probe
baseline_lwf,mlp_baseline,0.4355833333333334,0.01511897262823546,0.0016666666666666668,0.6266666666666666,0.5908333333333333,0.3429166666666667,0.005555555555555556,0.8847222222222223,0.012500000000000002,0.00375,0.0004166666666666667,0.68125,0.9995833333333334,0.9733333333333333,0.0,0.4804861111111111,-1.1660677194595337,0.8900675972302755,2.1612499952316284,1.037499984105428,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_sparse_moe,sparse_moe,0.29991666666666666,0.00014433756729739054,0.0,0.8430208333333332,0.25,0.0,0.0,0.6665277777777777,0.0,0.0,0.0,0.0,0.9995833333333334,1.0,0.0,0.8294444444444444,-23.452259699503582,2.3716914653778076,4.0,1.0,1188555.0,1188555.0,1188555.0,,4.533977508544922,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_finetune,mlp_baseline,0.29983333333333334,0.00014433756729739054,0.0,0.8421875,0.25,0.0,0.0,0.66625,0.0,0.0,0.0,0.0,0.9995833333333334,0.9991666666666666,0.0,0.829513888888889,-25.90992259979248,2.2704251607259116,5.023333311080933,1.0008333524068196,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_ewc,mlp_baseline,0.29975,0.00025000000000000716,0.0,0.8434375,0.25,0.0,0.0,0.6659722222222223,0.0,0.0,0.0,0.0,0.9995833333333334,0.9983333333333334,0.0,0.8295833333333333,-34.08855438232422,2.4012356201807656,5.690833409627278,1.0016666650772095,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_pnn,pnn_fixed_columns,0.299,0.0009013878188659769,0.0,0.8369791666666666,0.249375,0.0,0.0,0.6640277777777778,0.0,0.0,0.0,0.0,0.9979166666666667,0.9941666666666666,0.0,0.8229861111111111,-43.02307256062826,2.842805544535319,3.987083315849304,1.005833347638448,219334.0,1088966.0,1088966.0,,4.154075622558594,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
