selected_candidate_variant,selected_candidate_method,selected_policy_family,selected_policy_label,n_selected,mean_selected_proxy_acc,mean_selected_proxy_score
context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,RC1b guarded context-gap,6,0.9222417534722221,1.4520826460547909
proto_global_head_ce_kl_guard_035,paired_proto_global_head_ce_kl_guard_035,proto_true_global_guard,proto-first true CE/KL guarded global head,5,0.9297239583333333,1.7155469735940643
context_blend_selected_global,paired_context_blend_selected_global,context_only_global,validation-selected context-only global head,3,0.9360894097222222,1.7122348965143228
proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,proto-first no-repair / copied global head,1,0.9281250000000001,1.234920634937856
