method,backbone,final_acc_mean,final_acc_std,forgetting_mean,forgetting_std,param_count_mean,param_mb_mean,train_time_s_mean,peak_gpu_mb_mean,replay_buffer_items_mean,stability_score,efficiency_score
joint_upper_bound,mlp,0.9800000000000001,,0.0,,218058.0,0.8318252563476562,1.0178455489999578,,0.0,0.9800000000000001,1.3959509797056928
pnn,mlp,0.9789999999999999,,0.0,,217538.0,0.8298416137695312,0.3737601220000215,,0.0,0.9789999999999999,3.0829635745561355
experience_replay,mlp,0.9709999999999999,,0.0020000000000000018,,218058.0,0.8318252563476562,0.4911171329999888,,1000.0,0.9689999999999999,2.4253765406964156
mmals_full_functional_memory,mmals,0.967,,0.0030000000000000027,,1232543.0,4.701778411865234,3.991640228000051,,0.0,0.964,0.5995902787808808
lwf,mlp,0.962,,0.0030000000000000027,,218058.0,0.8318252563476562,0.6517434580000554,,0.0,0.959,1.9110004971764296
ewc,mlp,0.873,,0.10199999999999998,,218058.0,0.8318252563476562,0.4604534740001327,,0.0,0.771,2.0356597629694275
finetune,mlp,0.8210000000000001,,0.142,,218058.0,0.8318252563476562,0.411620646999836,,0.0,0.679,1.9696091948078525
sparse_moe,mlp,0.795,,0.176,,1190943.0,4.543087005615234,1.719743061000372,,0.0,0.619,0.6186675200453524
