selected_candidate_variant,selected_candidate_method,selected_policy_family,selected_policy_label,n_selected,mean_selected_proxy_acc,mean_selected_proxy_score
context_gap_selected,paired_context_gap_selected,rc1b_guarded_context_gap,RC1b guarded context-gap,13,0.9258533653846153,1.5426629468452404
context_blend_selected_global,paired_context_blend_selected_global,context_only_global,validation-selected context-only global head,1,0.9090625000000001,1.6905165301915839
context_temp_blend_selected_global,paired_context_temp_blend_selected_global,context_only_global,validation-selected context-only global head,1,0.9553385416666667,1.8035551297790138
