method,seed,model_family,final_avg_acc,min_task_acc,context_entropy_mean,context_margin_mean,context_top1_acc_mean,latent_frechet_margin_mean,prototype_weight_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params,total_params,backbone_params,readout_trainable_params,readout_total_params,model_size_mb_total,probe_row,backbone_source,probe_feature,probe_context_mode,middle_avg_acc,middle_min_acc,avg_forgetting,old_class_acc,recent_class_acc,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,min_class_acc,pred4_bias,method_role
baseline_experience_replay,4,mlp_baseline,0.8414999999999999,0.68125,,,,,0.0,0.8658830523490906,2.213452100753784,1.4762499928474426,1.002500057220459,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.76625,0.68125,0.13718750000000002,0.8079166666666667,0.90625,0.8725,0.9575,0.59375,0.75875,0.9625,0.9975,0.59375,0.2547916666666667,deployable_continual_baseline
baseline_finetune,0,mlp_baseline,0.3,0.0,,,,,0.0,-25.720982551574707,2.2907493114471436,6.0,1.0,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8434375000000001,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8300000000000001,deployable_continual_baseline
baseline_finetune,1,mlp_baseline,0.29975,0.0,,,,,0.0,-24.685447692871094,2.31056547164917,4.069999933242798,1.0,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8421875,0.0,0.66625,0.0,0.0,0.0,0.0,0.99875,1.0,0.0,0.8297916666666668,deployable_continual_baseline
baseline_finetune,2,mlp_baseline,0.29975,0.0,,,,,0.0,-27.32333755493164,2.209960699081421,5.0,1.002500057220459,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8409375,0.0,0.6658333333333334,0.0,0.0,0.0,0.0,1.0,0.9975,0.0,0.82875,deployable_continual_baseline
baseline_finetune,3,mlp_baseline,0.2995,0.0,,,,,0.0,-22.385945320129395,2.0783112049102783,3.0112500190734863,1.0049999952316284,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8378125,0.0,0.665,0.0,0.0,0.0,0.0,1.0,0.995,0.0,0.8333333333333334,deployable_continual_baseline
baseline_finetune,4,mlp_baseline,0.2995,0.0,,,,,0.0,-21.01019859313965,2.19539737701416,3.993749976158142,1.0049999952316284,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8415625,0.0,0.665,0.0,0.0,0.0,0.0,1.0,0.995,0.0,0.8327083333333333,deployable_continual_baseline
baseline_joint_upper_bound,0,joint_upper_bound,0.87225,0.795,,,,,0.0,5.370140075683594,8.549215316772461,1.3112499713897705,1.097499966621399,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.843125,0.795,0.0,0.86375,0.895,0.9125,0.93125,0.7475,0.85,0.9175,0.9175,0.7475,0.21833333333333335,diagnostic_upper_bound
baseline_joint_upper_bound,1,joint_upper_bound,0.881,0.84625,,,,,0.0,6.638727903366089,7.491130352020264,1.1912500262260437,1.0924999713897705,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.871875,0.86875,0.0,0.8925000000000001,0.8737499999999999,0.8725,0.95,0.855,0.90625,0.8,0.915,0.8,0.170625,diagnostic_upper_bound
baseline_joint_upper_bound,2,joint_upper_bound,0.8772500000000001,0.8175,,,,,0.0,6.434178590774536,9.782807350158691,1.1924999952316284,1.0499999523162842,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.834375,0.8175,0.0,0.9108333333333333,0.8645833333333334,0.9225,0.955,0.855,0.83625,0.8,0.9575,0.8,0.1672916666666667,diagnostic_upper_bound
baseline_joint_upper_bound,3,joint_upper_bound,0.8714999999999999,0.805,,,,,0.0,6.47429895401001,9.604104995727539,1.1974999904632568,1.065000057220459,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.8225,0.805,0.0,0.90875,0.8574999999999999,0.935,0.9425,0.84875,0.8175,0.8075,0.9475,0.8075,0.16874999999999998,diagnostic_upper_bound
baseline_joint_upper_bound,4,joint_upper_bound,0.881,0.82875,,,,,0.0,5.98469614982605,9.731644630432129,1.225000023841858,1.024999976158142,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.829375,0.82875,0.0,0.9070833333333334,0.87875,0.93,0.9825,0.80875,0.84625,0.815,0.975,0.80875,0.17,diagnostic_upper_bound
baseline_lwf,0,mlp_baseline,0.45225,0.005,,,,,0.0,-1.192373514175415,0.7613828778266907,2.2050000429153442,1.037500023841858,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.631875,0.3875,0.6187499999999999,0.004583333333333333,0.9116666666666667,0.0025,0.01125,0.0,0.76375,0.99875,0.9725,0.0,0.40416666666666673,deployable_continual_baseline
baseline_lwf,1,mlp_baseline,0.42275,0.0,,,,,0.0,-1.1429826021194458,0.8733837604522705,2.178749918937683,1.0399999618530273,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.564375,0.315,0.6296875,0.0004166666666666667,0.8658333333333333,0.0,0.0,0.00125,0.6275,1.0,0.97,0.0,0.515625,deployable_continual_baseline
baseline_lwf,2,mlp_baseline,0.43174999999999997,0.0,,,,,0.0,-1.1628470420837402,1.0354361534118652,2.100000023841858,1.034999966621399,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.57625,0.32625,0.6315625,0.011666666666666667,0.8766666666666666,0.035,0.0,0.0,0.6525,1.0,0.9775,0.0,0.5216666666666666,deployable_continual_baseline
baseline_lwf,3,mlp_baseline,0.483,0.0,,,,,0.0,-1.2818686366081238,1.0020886659622192,2.259999990463257,1.0625,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.63125,0.385,0.55375,0.11458333333333333,0.9083333333333333,0.3425,0.00125,0.0,0.765,0.995,0.965,0.0,0.4422916666666667,deployable_continual_baseline
