selected_candidate_variant,selected_candidate_method,selected_policy_family,selected_policy_label,n_selected,mean_selected_proxy_acc,mean_selected_proxy_score
proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,proto-first no-repair / copied global head,12,0.9268663194444445,1.2107204861111112
proto_global_head_ce_kl_guard_035,paired_proto_global_head_ce_kl_guard_035,proto_true_global_guard,proto-first true CE/KL guarded global head,7,0.9259672619047619,1.2806636904761906
context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,RC1b guarded context-gap,3,0.9327256944444445,1.297434027777778
context_blend_selected_global,paired_context_blend_selected_global,context_only_global,validation-selected context-only global head,2,0.9354166666666667,1.323088541666667
context_temp_blend_selected_global,paired_context_temp_blend_selected_global,context_only_global,validation-selected context-only global head,1,0.95625,1.3333750000000002
