method,seed,model_family,final_avg_acc,min_task_acc,context_entropy_mean,context_margin_mean,context_top1_acc_mean,latent_frechet_margin_mean,prototype_weight_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params,total_params,backbone_params,readout_trainable_params,readout_total_params,model_size_mb_total,probe_row,backbone_source,probe_feature,probe_context_mode,middle_avg_acc,middle_min_acc,avg_forgetting,old_class_acc,recent_class_acc,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,min_class_acc,pred4_bias,method_role
baseline_joint_upper_bound,2,joint_upper_bound,0.8779999999999999,0.81125,,,,,0.0,6.678266286849976,9.879965782165527,1.1887500286102295,1.0499999523162842,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.828125,0.81125,0.0,0.9120833333333334,0.8629166666666667,0.9125,0.96375,0.86,0.82375,0.8075,0.9575,0.8075,0.1708333333333333,diagnostic_upper_bound
baseline_lwf,0,mlp_baseline,0.47474999999999995,0.05875,,,,,0.0,-1.1681856513023376,0.7511125206947327,2.180000066757202,1.034999966621399,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.635625,0.39,0.5918749999999999,0.03916666666666666,0.9141666666666667,0.0,0.1175,0.0,0.77125,0.99875,0.9725,0.0,0.4016666666666666,deployable_continual_baseline
baseline_lwf,1,mlp_baseline,0.42275,0.0,,,,,0.0,-1.14517480134964,0.8739266991615295,2.178749918937683,1.0399999618530273,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.564375,0.315,0.6296875,0.0004166666666666667,0.8658333333333333,0.0,0.0,0.00125,0.6275,1.0,0.97,0.0,0.515625,deployable_continual_baseline
baseline_lwf,2,mlp_baseline,0.43224999999999997,0.0,,,,,0.0,-1.143135666847229,1.04743492603302,2.1012500524520874,1.027500033378601,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.57375,0.32375,0.6325,0.015,0.8766666666666666,0.045,0.0,0.0,0.6475,1.0,0.9825,0.0,0.5116666666666666,deployable_continual_baseline
baseline_pnn,0,pnn_fixed_columns,0.29875,0.0,,,,,0.0,-41.87685012817383,4.020464897155762,3.9987499713897705,1.0,219334,1088966,1088966.0,,,4.154075622558594,False,baseline_sequential_or_joint,baseline_logits,none,0.248125,0.0,0.8396874999999999,0.0,0.6645833333333333,0.0,0.0,0.0,0.0,0.99375,1.0,0.0,0.8035416666666667,deployable_continual_baseline
baseline_pnn,1,pnn_fixed_columns,0.3,0.0,,,,,0.0,-45.670467376708984,2.6373629570007324,4.0,1.0,219334,1088966,1088966.0,,,4.154075622558594,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8418749999999999,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8308333333333332,deployable_continual_baseline
baseline_pnn,2,pnn_fixed_columns,0.298,0.0,,,,,0.0,-41.30784034729004,1.8389999866485596,3.9512500762939453,1.0199999809265137,219334,1088966,1088966.0,,,4.154075622558594,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8284375,0.0,0.66,0.0,0.0,0.0,0.0,1.0,0.98,0.0,0.8352083333333332,deployable_continual_baseline
baseline_sparse_moe,0,sparse_moe,0.29975,0.0,0.00017117488096118905,,,,0.0,-20.237218856811523,2.6041970252990723,4.9674999713897705,1.0,1188555,1188555,1188555.0,,,4.533977508544922,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8440624999999999,0.0,0.66625,0.0,0.0,0.0,0.0,0.99875,1.0,0.0,0.8258333333333333,deployable_continual_baseline
baseline_sparse_moe,1,sparse_moe,0.3,0.0,2.540832498425516e-05,,,,0.0,-24.117958068847656,2.2703967094421387,4.0,1.0,1188555,1188555,1188555.0,,,4.533977508544922,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.83875,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8314583333333333,deployable_continual_baseline
baseline_sparse_moe,2,sparse_moe,0.29975,0.0,4.65979884893386e-05,,,,0.0,-28.112223625183105,2.3800203800201416,4.0,1.002500057220459,1188555,1188555,1188555.0,,,4.533977508544922,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8440624999999999,0.0,0.6658333333333334,0.0,0.0,0.0,0.0,1.0,0.9975,0.0,0.8300000000000001,deployable_continual_baseline
